Pseudo Rapidity of 0n0n:	Pseudo Rapidity of 0nXn:	Pseudo Rapidity of XnXn:
-3.69834	-4.87722	-3.85443
-3.78565	4.58387	-4.64787
6.36353	3.92521	-6.78965
-6.14128	4.8015	-4.25302
-3.42925	5.31874	-4.1643
-4.90531	-4.32381	3.77023
-5.08829	5.00781	4.61726
-4.81872	5.99636	3.54244
-5.48403	5.47057	-3.14592
4.87077	5.83691	-3.66729
6.41102	5.859	-3.39659
-6.04319	-4.94242	4.85018
-3.16254	5.07177	4.24356
-6.45028	-5.20305	3.3252
-6.1815	5.00762	1.00091
3.96969	-4.83412	2.40362
-3.99328	-4.95941	4.35009
2.88339	-5.0155	4.41045
5.53352	5.22578	2.59323
-5.73226	-4.93191	-4.45694
-1.55826	5.91545	-4.05025
1.46475	5.47758	4.42619
4.74733	5.29936	3.05855
4.95965	5.90932	3.37706
4.26098	-5.63786	-4.11975
-4.65318	-5.38187	3.08472
4.69352	-5.16954	-2.05018
-4.23632	5.23865	-4.16631
4.40218	5.44332	3.55694
4.80679	5.81835	-4.37679
-4.16161	-6.09164	2.76326
-4.45897	4.84792	-2.80437
3.96023	-5.9547	-3.92959
3.59409	4.95722	3.58489
-4.0336	-4.63449	4.59842
4.35339	-4.36647	4.49302
5.285	5.03297	3.83313
-4.67859	4.43142	3.86635
-4.91338	3.9627	3.925
-4.85653	4.32321	4.08699
-5.07995	-4.30202	1.37309
5.1505	4.03262	3.85348
5.43766	4.2505	-1.90095
-5.16057	-4.09438	-4.42823
-5.38758	4.29672	4.88634
5.63589	-3.63812	2.95336
-4.90133	4.25406	2.6471
5.22369	4.44458	4.14384
4.91717	-4.69894	3.76357
5.93058	-3.7648	1.68273
-4.78568	-3.7031	4.70911
4.72931	3.8048	5.89729
6.06294	-4.88069	5.38104
5.85118	3.83893	4.3114
-6.0486	-4.28112	-4.4866
-5.20057	4.92672	4.33499
5.45548	5.25692	4.7414
4.99673	5.00676	-5.03985
-5.05396	-3.61606	4.78168
-3.0267	2.43078	-4.52108
-4.40481	3.22302	-4.53246
-4.36433	5.27707	-4.53586
-4.86327	-3.96547	-4.527
-4.67871	-4.24512	4.61355
-4.17654	4.58652	4.96833
4.4627	-4.47094	-5.2485
-4.10122	3.94528	4.70131
4.16509	-5.04978	4.76567
4.61912	5.44728	4.7687
3.6805	2.67457	4.42222
-3.85952	5.20267	3.85877
4.59689	5.27005	-3.85975
-3.3945	4.50216	-3.79702
-3.23254	4.23531	4.4601
3.3431	-4.59897	-4.00414
4.7769	4.62672	-2.83618
-3.62537	-4.60986	-2.61135
4.29922	4.28077	-2.37024
4.78963	3.91941	3.19747
-4.81006	5.28239	4.83525
4.85535	2.64522	-3.22236
5.36685	5.27439	-2.18074
5.2098	-4.42377	3.83944
-3.51782	-2.97162	3.72831
-4.44066	3.86496	-4.51566
3.38463	4.09782	2.80575
-2.77677	5.76776	4.53246
2.51325	2.36691	-3.63162
3.14325	-1.98056	-3.41951
4.72018	2.90137	3.40158
-4.34825	4.46916	2.34664
-4.47537	2.94205	-3.60807
-4.46626	-4.23975	-1.99965
4.39079	3.98808	3.33172
4.34741	3.22942	-3.33286
4.34999	4.71593	0.771118
4.3035	-3.82387	-0.859069
5.091	2.77972	-2.96499
-5.00461	3.44651	-2.45871
2.08347	-2.98919	2.72632
2.90898	4.66927	-4.37758
3.28851	2.70648	-3.97509
3.43619	-4.42317	4.54332
-4.49236	2.83642	-4.63905
-4.75916	-3.91469	-4.21098
4.35238	-4.1358	-3.54328
-4.58489	-3.83335	3.94332
4.2043	-3.6189	-5.3232
3.74682	3.79617	3.10065
-3.40947	-2.09626	3.61411
-3.27347	-1.37287	4.42135
3.75931	1.58835	-3.82352
3.46141	2.62392	4.13629
2.7567	2.07978	4.79826
-2.94271	-2.78699	-4.98006
3.63417	3.43844	-4.30139
-3.35399	1.95694	4.87776
3.1555	-1.8636	-3.93804
3.84702	3.67203	3.64963
3.77671	-2.56219	-4.22176
-4.59808	1.91246	-4.56106
1.50442	-1.30731	4.20127
3.99669	-3.83525	-4.43433
-0.866521	-4.18546	-3.52662
2.81859	3.55216	4.11912
2.74713	3.37193	3.76731
-3.04188	2.26892	-3.01478
2.55355	-3.31616	-3.49381
2.28519	-3.24932	4.20467
-2.23353	0.971927	-5.09612
-0.59738	-4.7319	-4.03414
-0.275498	-6.53279	-3.95405
2.12507	-5.33747	4.63255
2.02337	6.06167	-3.6549
3.49256	3.23472	-4.1257
3.90272	-4.92375	-4.14802
4.36408	4.46998	-4.78891
-3.33789	3.99456	5.37104
-5.48601	-3.71987	-5.7387
-2.98076	0.720217	4.43611
3.00952	2.83613	4.89557
-2.80184	-1.41638	-4.37217
3.12524	-0.542857	-4.23402
1.77466	-4.01756	4.45832
-1.47116	-1.88598	-4.41326
4.29567	-2.6551	-6.12667
-4.65413	3.15906	-4.87711
1.42274	-2.83366	6.22192
5.04628	-2.81696	4.56331
2.67902	2.69656	5.29806
2.72823	-2.77172	5.06144
2.95557	3.02812	-5.05265
3.01715	2.66584	4.88803
2.10632	2.54989	3.80151
4.16722	1.78833	-5.1286
1.16854	2.54245	5.38936
-2.06964	-2.08706	-2.72364
2.34068	-4.12072	-3.82119
-1.75675	3.80196	-4.091
2.91366	-4.1719	-4.0225
1.9412	-3.5957	-3.76351
2.82406	-0.218148	-3.67635
1.78417	-3.78385	1.75329
-2.42532	4.02038	-3.85364
3.16469	-3.51695	-3.47675
-3.94464	4.27645	-5.75127
-3.32125	-2.62613	3.07417
-1.58768	2.82258	3.70333
2.74039	-4.45105	3.82399
2.19641	3.27604	3.59788
-2.4428	-3.14798	3.99202
-1.63485	4.72841	-3.5102
2.07949	4.22534	4.91722
-1.15833	4.45001	-3.4539
1.99448	-4.46787	4.90313
4.83197	-3.76595	0.596554
3.77994	-2.13956	-2.32343
4.31275	-5.7157	3.5763
1.71033	1.88727	-4.23876
-1.95352	-0.793951	4.19992
4.12256	-4.55737	5.55805
3.66909	3.41015	-4.14903
2.11398	-1.7733	-4.35248
-1.7459	2.54967	3.90369
1.85802	-2.78933	2.95661
1.92688	-4.87306	-3.81332
-3.02292	3.0555	4.24227
2.91609	3.14403	-1.42597
7.50451	1.1365	3.24537
-3.21924	-0.5505	3.80855
-2.38429	0.605156	3.42801
3.87302	2.87868	-4.6382
-3.61125	2.83554	-4.20476
5.05644	-2.91252	-4.49972
4.78157	6.58946	-4.06823
1.69866	6.61723	-3.68176
1.54701	4.14035	5.99762
0.804752	1.81076	-5.52221
-4.25861	-0.528932	-5.99554
-4.81458	1.39039	-8.22516
-3.8657	3.87467	5.52936
-2.12569	-4.29383	5.74522
-1.97169	2.62886	5.13106
2.56585	3.62419	4.16002
3.32382	-3.71078	5.79808
2.79274	4.35887	-3.67581
-1.83527	3.63033	-7.22535
-0.765712	3.74966	-6.7495
3.18333	3.60872	6.50285
-1.29164	-4.41258	-6.06097
2.43541	-2.23593	4.96939
-1.46622	-2.32013	3.81545
-4.44409	-4.09012	7.12456
-3.5888	2.31489	-6.41171
4.24891	1.22962	-6.82978
2.42167	-2.34052	-8.98291
1.13639	-4.58194	-6.92925
-2.95589	4.9962	-6.78881
3.66334	4.22554	4.78892
2.43478	3.04152	-7.11694
2.04579	-3.36875	-6.00896
-1.91235	3.67391	6.06856
-0.729464	-4.52653	6.88051
-2.01038	-4.30078	-6.97701
1.11228	-3.67241	6.48269
-0.6932	3.486	6.56463
-4.46186	3.87708	4.09958
3.3914	4.06549	7.01508
3.95566	-3.64437	5.66692
2.77074	-4.04442	-5.66161
-2.47003	-3.46246	-7.2497
4.1373	-4.46189	-6.43472
2.67931	-4.91302	5.25775
3.15153	-2.95343	-5.93981
3.87934	3.36464	-6.91953
4.01333	-3.88324	-5.09409
-4.21175	-4.14473	7.39515
-4.11594	-3.09213	6.37548
2.9298	2.59791	6.05297
3.41694	2.94826	5.17101
2.9928	-3.6502	-4.95317
4.18599	-4.53505	-6.64929
-4.51093	4.79019	-4.97779
-3.90668	5.9763	-5.64928
4.89648	-5.65368	-7.10046
5.37228	-5.97668	-6.06748
-2.35552	4.73164	-6.06824
1.84242	-6.98196	-6.55681
1.86658	-5.26667	7.28082
0.274408	4.47791	-6.8923
7.60095	6.58228	6.65975
-2.12524	-4.10344	6.82746
1.74917	-7.47374	-6.20733
-0.959221	5.99719	7.79239
-1.36656	-6.00058	-7.46127
-1.00083	-5.78406	7.57532
2.45912	5.96525	7.37317
-3.29755	5.21718	-6.16719
2.11183	-4.85433	6.77827
2.95466	6.97968	6.74089
2.39916	-6.30221	6.83593
2.3094	-6.3993	-6.99647
0.897188	6.31044	6.36366
-1.81801	-6.00493	6.22363
1.6512	-6.52438	-7.17162
-2.05207	4.73114	6.8519
-2.49828	6.52933	-7.11072
1.62356	-6.82206	7.0629
-0.897372	-5.93051	-6.15206
3.64631	5.53192	5.07361
-1.71983	-6.60817	6.31315
1.19936	7.36027	-6.6556
2.87428	6.57472	-7.10333
3.16008	2.78124	-6.54725
-4.30883	4.36498	6.96405
-2.86707	6.01025	-7.81955
-4.62889	5.483	7.36802
4.71049	6.90809	7.98256
2.69402	-4.96892	-6.94169
6.0705	5.85955	-7.6878
-3.95987	-7.20594	7.54579
-3.22432	6.75717	-7.24632
3.80886	-6.45822	-6.60012
-4.6747	8.01867	-7.04432
-2.57959	-7.61057	7.09324
-1.81925	-4.07564	-6.47782
-3.42071	-6.94292	-6.41746
-4.5991	7.16178	6.62295
-2.4853	-4.24764	-7.00621
-2.88579	-4.42416	-6.37628
-4.80835	6.33721	6.80472
3.65673	4.81847	6.93933
-1.58334	6.48478	4.88243
-3.99982	5.06298	5.80544
-2.86624	4.08685	-6.8222
-3.85377	3.86475	-6.9859
-3.76795	4.0035	3.9683
-2.96905	-4.88491	-6.71902
